,id,count,model,trade_count,winning_ratio,mean_gain,mean_loss,payoff_ratio,sum_gain,sum_loss,profit_factor,
0,005380,150,lg,28,0.535714286,2006.666667,1115.384615,1.79908046,30100,14500,2.075862069,
1,005380,150,dt,15,0.4,1866.666667,2175,0.858237548,11200,17400,0.643678161,
2,005380,150,rf,37,0.594594595,1509.090909,1446.666667,1.043150398,33200,21700,1.529953917,
3,005380,150,xg,29,0.517241379,1753.333333,1535.714286,1.141705426,26300,21500,1.223255814,
0,005380,200,lg,27,0.518518519,2128.571429,1292.307692,1.647108844,29800,16800,1.773809524,
1,005380,200,dt,12,0.416666667,2300,3383.333333,0.679802956,11500,20300,0.566502463,
2,005380,200,rf,27,0.555555556,1673.333333,1750,0.956190476,25100,21000,1.195238095,
3,005380,200,xg,33,0.545454545,1772.222222,1206.666667,1.468692449,31900,18100,1.762430939,
0,005380,250,lg,16,0.5,2812.5,962.5,2.922077922,22500,7700,2.922077922,
1,005380,250,dt,31,0.387096774,1833.333333,1652.631579,1.109341826,22000,31400,0.700636943,
2,005380,250,rf,25,0.6,1786.666667,2125,0.840784314,26800,17000,1.576470588,
3,005380,250,xg,30,0.533333333,1500,1157.142857,1.296296296,24000,16200,1.481481481,
0,035720,20,lg,16,0.375,2066.666667,1970,1.049069374,12400,19700,0.629441624,2
1,035720,20,dt,39,0.461538462,1577.777778,747.3684211,2.111111111,28400,14200,2,
2,035720,20,rf,35,0.4,1835.714286,1330,1.380236305,25700,26600,0.966165414,
3,035720,20,xg,33,0.424242424,1150,935.2941176,1.229559748,16100,15900,1.012578616,
0,035720,50,lg,10,0.3,2966.666667,1042.857143,2.844748858,8900,7300,1.219178082,
1,035720,50,dt,30,0.5,1333.333333,1061.538462,1.256038647,20000,13800,1.449275362,
2,035720,50,rf,32,0.59375,1336.842105,1775,0.753150482,25400,21300,1.192488263,
3,035720,50,xg,39,0.435897436,1194.117647,1159.090909,1.030219146,20300,25500,0.796078431,
0,035720,100,lg,25,0.52,1630.769231,1472.727273,1.107312441,21200,16200,1.308641975,
1,035720,100,dt,38,0.473684211,1616.666667,1222.222222,1.322727273,29100,22000,1.322727273,
2,035720,100,rf,39,0.358974359,1921.428571,1264,1.520117541,26900,31600,0.851265823,
3,035720,100,xg,22,0.318181818,2342.857143,1664.285714,1.407725322,16400,23300,0.703862661,
0,035720,150,lg,21,0.380952381,2125,1358.333333,1.564417178,17000,16300,1.042944785,
1,035720,150,dt,37,0.459459459,1729.411765,1110,1.558028617,29400,22200,1.324324324,
2,035720,150,rf,27,0.444444444,1491.666667,1613.333333,0.924586777,17900,24200,0.739669421,
3,035720,150,xg,21,0.428571429,2188.888889,1225,1.786848073,19700,14700,1.340136054,
0,035720,200,lg,20,0.4,2300,1472.727273,1.561728395,18400,16200,1.135802469,
1,035720,200,dt,18,0.444444444,1200,1790,0.670391061,9600,17900,0.536312849,
2,035720,200,rf,27,0.444444444,1558.333333,1792.857143,0.869189907,18700,25100,0.74501992,
3,035720,200,xg,31,0.516129032,1481.25,1133.333333,1.306985294,23700,17000,1.394117647,
0,035720,250,lg,22,0.545454545,1916.666667,1377.777778,1.391129032,23000,12400,1.85483871,
1,035720,250,dt,28,0.392857143,1890.909091,1062.5,1.779679144,20800,17000,1.223529412,
2,035720,250,rf,31,0.580645161,1277.777778,1230,1.038843722,23000,12300,1.869918699,
3,035720,250,xg,31,0.516129032,1550,1366.666667,1.134146341,24800,20500,1.209756098,
0,000270,20,lg,18,0.611111111,1890.909091,2400,0.787878788,20800,16800,1.238095238,4.184615385
1,000270,20,dt,24,0.5,1616.666667,1281.818182,1.261229314,19400,14100,1.375886525,
2,000270,20,rf,42,0.333333333,1435.714286,1229.62963,1.167598967,20100,33200,0.605421687,
3,000270,20,xg,25,0.48,1458.333333,1484.615385,0.982297064,17500,19300,0.906735751,
0,000270,50,lg,10,0.5,1760,1080,1.62962963,8800,5400,1.62962963,
1,000270,50,dt,26,0.576923077,1806.666667,2290.909091,0.788624339,27100,25200,1.075396825,
2,000270,50,rf,42,0.523809524,1054.545455,1300,0.811188811,23200,23400,0.991452991,
3,000270,50,xg,27,0.518518519,1285.714286,633.3333333,2.030075188,18000,7600,2.368421053,
0,000270,100,lg,27,0.518518519,2185.714286,1541.666667,1.417760618,30600,18500,1.654054054,
1,000270,100,dt,26,0.423076923,2600,1653.333333,1.572580645,28600,24800,1.153225806,
2,000270,100,rf,34,0.558823529,1473.684211,1626.666667,0.905953408,28000,24400,1.147540984,
3,000270,100,xg,23,0.565217391,1546.153846,577.7777778,2.676035503,20100,5200,3.865384615,
0,000270,150,lg,24,0.541666667,2276.923077,1810,1.257968551,29600,18100,1.635359116,
1,000270,150,dt,38,0.526315789,1940,1488.888889,1.302985075,38800,26800,1.447761194,
2,000270,150,rf,37,0.567567568,1171.428571,1350,0.867724868,24600,21600,1.138888889,
3,000270,150,xg,25,0.6,1226.666667,987.5,1.242194093,18400,7900,2.329113924,
0,000270,200,lg,23,0.565217391,2053.846154,1566.666667,1.31096563,26700,14100,1.893617021,
1,000270,200,dt,15,0.6,2855.555556,2616.666667,1.091295117,25700,15700,1.636942675,
2,000270,200,rf,31,0.516129032,1556.25,1386.666667,1.122295673,24900,20800,1.197115385,
3,000270,200,xg,24,0.5,1491.666667,1255.555556,1.188053097,17900,11300,1.584070796,
0,000270,250,lg,18,0.611111111,2381.818182,2071.428571,1.14984326,26200,14500,1.806896552,
1,000270,250,dt,15,0.733333333,1163.636364,1133.333333,1.026737968,12800,3400,3.764705882,
2,000270,250,rf,28,0.607142857,1594.117647,2163.636364,0.736777064,27100,23800,1.138655462,
3,000270,250,xg,26,0.576923077,1813.333333,650,2.78974359,27200,6500,4.184615385,
